finding,DEV,TEST,verdict,source
composite (B1) universe IC,+0.013 (t 0.87),+0.045 (t 2.39),"same sign, 3.5x larger on TEST",desk_17/27
value group IC,-0.016,+0.050 (2021-22 +0.08),FLIP,desk_17
dtc block IC,-0.001 (fresh 29m),+0.035 (feat_short_interest),FLIP / not replicated,desk_14
B1 IC high-SI minus low-SI tercile,-0.050 (t -2.46),+0.050 (t +3.03),FLIP (significant both ways),desk_24/27 S4
SI cap 5% vs 10% (paired net t),+3.19,-2.00,FLIP,desk_20/27 A1
SI cap 10% vs none,+2.12 (fresh 29m),"IR 0.584 -> 0.637, DD -18.9% -> -9.8% (feat_si_followup)",same direction (risk),desk_14
"novneg_max IC, $0.5-2B band (filers)","-0.022 (t -1.49, $1-2B)",+0.038 (t +2.89),FLIP,desk_02/27 S1
"novneg_max IC, universe",+0.007 (t 1.64),+0.010 (t 2.87),"same sign, small",desk_12/23
novneg_max -> next-month idio risk (partial ivol),+0.030 (t 4.65),+0.029 (t 4.71),SAME (robust),desk_23/27 S3
monotone GBM IC,"+0.023 (2017-20, t 1.41)",+0.017 (t 1.12),"same sign, weak",desk_25/27
JKP13z vs B1 net Sharpe,+0.21 vs -0.15,+1.29 vs +0.99,SAME (A5 better both),desk_19/27
cross-sectional dispersion -> IC slope,-0.048 (t -5.4),-0.024 (t -3.1),SAME,desk_17
