permno,ticker,weight,sector,g_value,g_profitability,g_investment_issuance_accruals,g_quality,g_surprise,g_volatility_beta,g_liquidity,factors_score,dtc_raw,si_ratio,novelty,novel_x_neg,neg_share,n_filings,flag_novel_distress,flag_hard_abrupt,flag_litigation,text_score,reason,Date
10107,MSFT,0.01,45,-0.2919291929192919,0.7815781578157815,0.2073207320732073,0.8469846984698469,-0.051305130513051356,0.44674467446744676,-0.0738073807380738,0.34222172217221725,1.61,0.005289414921812881,0.079310342669487,0.0017822548979893327,0.02247191034257412,1.0,False,False,False,0.29494949494949496,"LONG 1.00% NAV; factors +0.34 (for: quality +0.85, profitability +0.78; against: value -0.29); short interest 0.5% of shares, days-to-cover 1.6; 8-K month: novelty 0.08",2021-01-01
10397,WERN,0.01,20,0.3723372337233723,-0.012301230123012282,0.7083708370837084,0.8019801980198019,0.004500450045004489,0.9321932193219321,-0.2691269126912691,0.36371137113711366,2.76,0.028752428899487724,,,,0.0,False,False,False,0.0,"LONG 1.00% NAV; factors +0.36 (for: volatility_beta +0.93, quality +0.80; against: liquidity -0.27); short interest 2.9% of shares, days-to-cover 2.8",2021-01-01
10874,BC,0.01,25,0.4161416141614162,0.3933393339333933,0.7419741974197421,0.6867686768676867,0.9144914491449145,-0.363936393639364,-0.1539153915391539,0.26275127512751273,6.44,0.04651021788800531,,,,0.0,False,False,False,0.0,"LONG 1.00% NAV; factors +0.26 (for: surprise +0.91, investment_issuance_accruals +0.74; against: volatility_beta -0.36); short interest 4.7% of shares, days-to-cover 6.4",2021-01-01
11786,SIVB,0.01,40,0.4071407140714071,0.21152115211521152,-0.570957095709571,0.1782178217821782,0.5706570657065706,-0.0831083108310831,0.0819081908190819,0.18043054305430542,2.12,0.011677516959605304,,,,0.0,False,False,False,0.0,"LONG 1.00% NAV; factors +0.18 (for: surprise +0.57, value +0.41; against: investment_issuance_accruals -0.57); short interest 1.2% of shares, days-to-cover 2.1",2021-01-01
11809,CLH,0.01,20,0.16051605160516047,-0.0633063306330633,0.4635463546354635,0.49819981998199814,-0.1314131413141314,0.20792079207920797,0.6903690369036904,0.25658190819081905,3.06,0.01183095608731854,,,,0.0,False,False,False,0.0,"LONG 1.00% NAV; factors +0.26 (for: liquidity +0.69, quality +0.50; against: surprise -0.13); short interest 1.2% of shares, days-to-cover 3.1",2021-01-01
12062,LH,0.01,35,0.4185418541854186,0.17131713171317134,0.09330933093309335,0.6548154815481548,0.9234923492349235,0.33993399339933994,-0.2439243924392439,0.34115286528652866,2.76,0.018075174537987678,,,,0.0,False,False,False,0.0,"LONG 1.00% NAV; factors +0.34 (for: surprise +0.92, quality +0.65; against: liquidity -0.24); short interest 1.8% of shares, days-to-cover 2.8",2021-01-01
12476,TRGP,0.01,10,-0.09030903090309028,-0.42154215421542157,0.8325832583258325,-0.40594059405940597,0.4365436543654365,-0.8355835583558356,-0.045004500450045004,0.038928892889288885,1.69,0.016326846074240328,0.2985915541648865,0.001614008448086679,0.0054054055362939835,1.0,False,False,False,0.20336700336700334,"LONG 1.00% NAV; factors +0.04 (for: investment_issuance_accruals +0.83, surprise +0.44; against: volatility_beta -0.84); short interest 1.6% of shares, days-to-cover 1.7; 8-K month: novelty 0.30",2021-01-01
12981,FBHS,0.01,20,0.17671767176717676,0.38073807380738073,0.13711371137113712,0.5882088208820881,0.8433843384338434,-0.29672967296729674,-0.10351035103510348,0.32003825382538253,1.7,0.012534474443780636,0.5581395626068115,0.0,0.0,1.0,False,False,False,0.24444444444444444,"LONG 1.00% NAV; factors +0.32 (for: surprise +0.84, quality +0.59; against: volatility_beta -0.30); short interest 1.3% of shares, days-to-cover 1.7; 8-K month: novelty 0.56",2021-01-01
13046,UI,0.01,45,-0.010501050105010493,0.46984698469846986,0.2985298529852986,0.7695769576957696,0.747074707470747,0.0633063306330633,0.8343834383438344,0.27400240024002404,19.01,0.01815738676180162,0.7881773114204407,0.015685120597481728,0.01579820178449154,2.0,False,False,False,-0.43636363636363634,"LONG 1.00% NAV; factors +0.27 (for: liquidity +0.83, quality +0.77; against: value -0.01); short interest 1.8% of shares, days-to-cover 19.0; 8-K month: novelty 0.79",2021-01-01
13407,FB,0.01,50,-0.06270627062706276,0.7725772577257727,-0.0597059705970597,0.7268226822682268,0.38343834383438347,0.2301230123012301,-0.6102610261026102,0.28335958595859584,1.57,0.009653703241895262,,,,0.0,False,False,False,0.0,"LONG 1.00% NAV; factors +0.28 (for: profitability +0.77, quality +0.73; against: liquidity -0.61); short interest 1.0% of shares, days-to-cover 1.6",2021-01-01
