month,n_positions,gross,net,beta_60m_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share
2021-01-31,203,1.9999999999999982,0.0,-1.1102230246251565e-16,-2.220446049250313e-16,0.05,0.24500000000000002
2021-02-28,211,1.999999999999999,1.6653345369377348e-16,-1.1102230246251565e-16,-1.6653345369377348e-16,0.05000000000000001,0.25044921926066865
2021-03-31,211,1.9999999999999987,-1.1102230246251565e-16,-1.1102230246251565e-16,1.6653345369377348e-16,0.05,0.25664744302597214
2021-04-30,213,1.9999999999999991,5.551115123125783e-17,-3.885780586188048e-16,4.440892098500626e-16,0.05,0.27255167687819415
2021-05-31,215,1.9999999999999987,5.551115123125783e-17,0.0,-4.996003610813204e-16,0.05000000000000005,0.2598061693346501
2021-06-30,217,1.999999999999999,1.6653345369377348e-16,-1.1102230246251565e-16,2.7755575615628914e-16,0.05,0.2781827565666339
2021-07-31,219,1.9999999999999991,0.0,-2.7755575615628914e-16,-2.7755575615628914e-16,0.05000000000000002,0.2741246973453859
2021-08-31,221,1.999999999999999,-1.1102230246251565e-16,5.551115123125783e-17,-5.551115123125783e-17,0.05,0.2596172051153621
2021-09-30,222,1.9999999999999991,1.1102230246251565e-16,0.0,5.551115123125783e-17,0.05,0.25881248481159735
2021-10-31,225,1.9999999999999991,-5.551115123125783e-17,1.6653345369377348e-16,1.6653345369377348e-16,0.05000000000000001,0.26218068781951676
2021-11-30,225,1.999999999999999,1.6653345369377348e-16,1.1102230246251565e-16,-3.3306690738754696e-16,0.05000000000000002,0.28453632903608556
2021-12-31,233,1.9999999999999991,-1.1102230246251565e-16,-1.1102230246251565e-16,-2.220446049250313e-16,0.050000000000000024,0.24998241161374093
2022-01-31,220,1.999999999999999,-1.1102230246251565e-16,1.1102230246251565e-16,3.3306690738754696e-16,0.05,0.26135952834019494
2022-02-28,228,1.9999999999999991,1.1102230246251565e-16,-3.3306690738754696e-16,-2.7755575615628914e-16,0.05000000000000002,0.2506106643550763
2022-03-31,229,1.9999999999999996,-5.551115123125783e-17,0.0,-5.551115123125783e-17,0.050000000000000024,0.24546957088591545
2022-04-30,229,1.999999999999999,-1.1102230246251565e-16,-2.7755575615628914e-16,-1.6653345369377348e-16,0.050000000000000024,0.23571541464757795
2022-05-31,235,1.999999999999999,2.7755575615628914e-17,0.0,1.6653345369377348e-16,0.05000000000000001,0.22411342092034459
2022-06-30,238,1.9999999999999987,-8.326672684688674e-17,1.6653345369377348e-16,1.1102230246251565e-16,0.05000000000000003,0.23464622875572574
2022-07-31,248,1.9999999999999993,-5.551115123125783e-17,0.0,-5.551115123125783e-17,0.05000000000000001,0.2441786117134031
2022-08-31,237,1.9999999999999991,5.551115123125783e-17,3.885780586188048e-16,0.0,0.05000000000000002,0.25355173161129224
2022-09-30,240,1.999999999999999,0.0,-2.220446049250313e-16,-5.551115123125783e-17,0.050000000000000024,0.23795294257737912
2022-10-31,241,1.949114744712915,-1.3877787807814457e-16,-5.551115123125783e-17,8.326672684688674e-17,0.05,0.22201463661248994
2022-11-30,235,1.999999999999999,-2.220446049250313e-16,0.0,3.0531133177191805e-16,0.050000000000000024,0.22683564817057622
2022-12-31,231,1.9999999999999996,-1.1102230246251565e-16,0.0,-5.551115123125783e-17,0.050000000000000024,0.22535827767196284
2023-01-31,235,1.999999999999999,0.0,-2.220446049250313e-16,-2.7755575615628914e-17,0.05000000000000001,0.2516169354498156
2023-02-28,228,1.9999999999999993,5.551115123125783e-17,-2.7755575615628914e-16,-8.326672684688674e-17,0.05000000000000001,0.24889363067816261
2023-03-31,230,1.9999999999999993,-5.551115123125783e-17,-5.551115123125783e-17,5.551115123125783e-17,0.05000000000000001,0.23852558577081584
2023-04-30,229,1.9999999999999987,1.6653345369377348e-16,0.0,-1.942890293094024e-16,0.05000000000000001,0.2340505200973926
2023-05-31,229,1.9999999999999996,-1.6653345369377348e-16,5.551115123125783e-17,-5.551115123125783e-17,0.05000000000000002,0.2249870264305293
2023-06-30,233,1.9999999999999987,0.0,-3.885780586188048e-16,-5.551115123125783e-17,0.05000000000000002,0.2587246088042885
2023-07-31,223,1.9999999999999993,1.3877787807814457e-16,1.1102230246251565e-16,-8.049116928532385e-16,0.05000000000000002,0.24767722474121798
2023-08-31,223,1.9999999999999987,-8.326672684688674e-17,5.551115123125783e-17,2.220446049250313e-16,0.05000000000000002,0.23616204947507227
2023-09-30,229,1.9999999999999993,2.7755575615628914e-17,1.1102230246251565e-16,2.7755575615628914e-16,0.05,0.2274902741420674
2023-10-31,236,1.9999999999999998,2.7755575615628914e-17,2.7755575615628914e-16,-2.7755575615628914e-16,0.05000000000000001,0.20360763313332786
