target_month,permno,ticker,company_name,sector,weight,ret_exc_lead1m,pred,raw_me,raw_beta_60m,raw_betabab_1260d
2021-01-31,10421,SKYW,SKYWEST INC,20,0.01,-0.032791999999999995,0.008500906653020765,2022.79611,2.0228977755474795,1.9015477851651355
2021-01-31,10516,ADM,ARCHER DANIELS MIDLAND CO,30,-0.01,-0.007980999999999999,-0.010451057966475913,28047.569489999998,0.8030839518074745,0.7205563783363119
2021-01-31,11404,ED,CONSOLIDATED EDISON INC,55,-0.01,-0.020663,-0.003553279903375263,24724.723319999997,0.06843778502188218,0.335082808941939
2021-01-31,11547,CNMD,CONMED CORP,35,0.01,-0.0009390000000000001,0.02115129864357139,3203.424,1.4760800725587604,1.2720830074334444
2021-01-31,11850,XOM,EXXON MOBIL CORP,10,-0.01,0.08777499999999999,-0.027241093177463697,174287.80548,1.2943147338581358,1.0287427082222942
2021-01-31,11891,MGM,M G M RESORTS INTERNATIONAL,25,-0.01,-0.093667,-0.0515468429283884,15564.017890000001,2.300537353160813,1.7465392932427335
2021-01-31,12060,GE,GENERAL ELECTRIC CO,20,-0.01,-0.011156999999999999,-0.02134345810401024,94606.6284,1.070598031014061,1.0022922001789938
2021-01-31,12369,GM,GENERAL MOTORS CO,25,-0.01,0.217053,-0.02096471906868462,59599.66512,1.3815889311562077,1.1391706207311842
2021-01-31,12374,IPHI,INPHI CORP,45,0.01,0.05068,0.033948052541813906,8612.90631,1.0406785166107444,0.7692851349391691
2021-01-31,12476,TRGP,TARGA RESOURCES CORP,10,0.01,0.041273000000000004,0.007351987164650936,6041.36294,2.920360757999242,1.7679686843332878
2021-01-31,12591,APO,APOLLO GLOBAL MANAGEMENT INC,40,0.01,-0.062112,0.02622626856070967,11207.40768,1.5128226992657994,1.2964158066167397
2021-01-31,12639,CSOD,CORNERSTONE ONDEMAND INC,45,0.01,-0.071345,0.06194164908225576,2859.3410400000002,1.2901046658581021,1.0117863603099149
2021-01-31,12872,MPC,MARATHON PETROLEUM CORP,10,-0.01,0.043474000000000006,-0.062085245547805507,26910.925359999997,2.127262034536111,1.6226276458155102
2021-01-31,13168,TRIP,TRIPADVISOR INC,50,-0.01,0.07604899999999999,-0.050458307561961374,3509.17418,1.403201742892156,1.0926197559484307
2021-01-31,13323,ENPH,ENPHASE ENERGY INC,45,-0.01,0.039163,-0.024338072286767598,22628.96214,1.5819578937095875,1.0404748342566696
2021-01-31,13326,MTSI,MACOM TECHNOLOGY SOLS HLDS INC,45,0.01,0.033021,0.047316876683134265,3761.6537599999997,2.216339123309515,0.9907505850551114
2021-01-31,13356,PSX,PHILLIPS 66,10,-0.01,-0.030644,-0.0485991833455682,30549.792,1.5890016332804087,1.290663387444473
2021-01-31,13511,PANW,PALO ALTO NETWORKS INC,45,0.01,-0.013101999999999999,0.04554645279830928,34837.10475,1.4455245872851226,0.6390585377895878
2021-01-31,13600,QLYS,QUALYS INC,45,-0.01,0.136165,-0.00467170659279896,4783.76311,0.7641704192101966,0.6391386177466166
2021-01-31,13625,SSTK,SHUTTERSTOCK INC,25,0.01,-0.09363,0.03654417486323079,2597.1891,1.017014227831915,0.5065651675575722
2021-01-31,13641,FANG,DIAMONDBACK ENERGY INC,10,-0.01,0.171235,-0.0906335119536083,7651.459199999999,2.478484558638127,1.5309768424567702
2021-01-31,13687,RH,R H,25,0.01,0.062164000000000004,0.023300384275722424,9129.85552,2.512910124033887,1.0890779154390557
2021-01-31,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,40,0.01,-0.038584,0.03661597265308553,3092.1848400000003,1.8262464109018182,1.1445580154093862
2021-01-31,13860,SEAS,SEAWORLD ENTERTAINMENT INC,25,-0.01,-0.09564600000000001,-0.054340545913089205,2476.08738,2.257025758252436,1.353135420120093
2021-01-31,13862,TMHC,TAYLOR MORRISON HOME CORP,25,0.01,0.012820000000000002,0.012712539440032061,3333.03795,1.7302353825399412,1.71541457280118
2021-01-31,13936,PVH,P V H CORP,25,0.01,-0.091962,0.02107702959701127,6675.579,2.217741543799219,1.6542285989691752
2021-01-31,13947,BLUE,BLUEBIRD BIO INC,35,-0.01,0.029536,-0.02672326570013217,2874.5126400000004,1.8283633207178933,0.7865551399245306
2021-01-31,13983,COTY,COTY INC,30,-0.01,-0.092639,-0.06482196977951263,5376.6390599999995,2.204559040210624,1.3285571276227874
2021-01-31,14044,AGIO,AGIOS PHARMACEUTICALS INC,35,-0.01,0.083961,-0.02726891080968233,3002.50902,1.7693863182657281,0.7070999765233422
2021-01-31,14097,FOXF,FOX FACTORY HOLDING CORP,25,0.01,0.13173,0.033733497064213705,4418.8894199999995,1.7390404185740984,1.1077402444133984
2021-01-31,14102,SFM,SPROUTS FARMERS MARKET INC,30,-0.01,0.12682000000000002,-0.01267011133659686,2370.8553,0.27225829219618597,0.31801048107542795
2021-01-31,14159,FEYE,FIREEYE INC,45,-0.01,-0.089378,-0.038630963141955216,5435.011399999999,1.2308787925067757,0.9905661120637461
2021-01-31,14239,COMM,COMMSCOPE HOLDING CO INC,45,0.01,0.09622299999999999,0.038601510191012794,2681.273,1.810006220634521,1.1970415390320521
2021-01-31,14263,VCYT,VERACYTE INC,35,-0.01,0.15851600000000002,-0.019383687208274658,2848.3569399999997,0.7680461779538272,1.0309282544418075
2021-01-31,14325,TNDM,TANDEM DIABETES CARE INC,35,0.01,-0.031714,0.043778244111089104,5964.2128,0.31200963753477,0.46170019699268094
2021-01-31,14329,ARMK,ARAMARK,25,-0.01,-0.108934,-0.027217294775803924,9771.14944,1.7431793927644843,1.3405206909942995
2021-01-31,14432,ITCI,INTRA CELLULAR THERAPIES INC,35,-0.01,0.010960000000000001,-0.035147001863505445,2558.7234,1.4376033889258455,0.6259678979471113
2021-01-31,14472,VRNS,VARONIS SYSTEMS INC,45,0.01,0.080389,0.045087001893187956,5205.9065900000005,1.1572374047167338,0.8136401890380032
2021-01-31,14503,OUT,OUTFRONT MEDIA INC,60,0.01,-0.068042,0.01709059665802226,2825.03124,1.7003020065677545,1.7758038396884597
2021-01-31,14558,ALLY,ALLY FINANCIAL INC,40,-0.01,0.066415,-0.040896619350970956,13331.74062,1.5375793880095125,1.469404027851656
2021-01-31,14574,MC,MOELIS & CO,40,0.01,0.063042,0.03702083430999725,2593.3563599999998,1.3122526438987312,0.7927747043928058
2021-01-31,14608,SABR,SABRE CORP,45,-0.01,-0.10320700000000001,-0.07695176484410063,3813.90994,2.084864317147646,2.1322325231105066
2021-01-31,14634,PE,PARSLEY ENERGY INC,10,-0.01,0.15435100000000002,-0.05891122798986673,5492.6168,2.152147461942106,1.2727524077879382
2021-01-31,14641,ZEN,ZENDESK INC,45,0.01,0.00778,0.046412849994680455,16698.812240000003,1.318486272369096,0.8495732906965444
2021-01-31,14828,SAGE,SAGE THERAPEUTICS INC,35,-0.01,-0.06778400000000001,-0.025030211412869513,5042.32186,2.146557244727091,0.7171235410174388
2021-01-31,14970,HUBS,HUBSPOT INC,45,0.01,-0.061189999999999994,0.026420676071298,18191.83872,1.72417526170794,1.0544631099590367
2021-01-31,14983,W,WAYFAIR INC,25,0.01,0.205924,0.04738701554420918,16441.67772,3.021047916487382,1.5780382714558951
2021-01-31,15046,NVRO,NEVRO CORP,35,0.01,-0.065384,0.04626252779442032,5959.659900000001,0.9621638981323056,0.6997367815859955
2021-01-31,15069,MRO,MARATHON OIL CORP,10,-0.01,0.085411,-0.05047885976261954,5265.24464,3.2407712372102933,1.4513564634953688
2021-01-31,15119,WK,WORKIVA INC,45,0.01,0.063805,0.04326876653019027,3655.36314,1.4644298015445771,0.7223045919815073
2021-01-31,15145,BOX,BOX INC,45,0.01,-0.039381,0.0554580891865815,2863.50615,1.3150649849105371,0.7204691238992551
2021-01-31,15167,SHAK,SHAKE SHACK INC,25,-0.01,0.33777,-0.044500923214597865,3249.6174,1.6721558883095007,1.136764518259553
