Date,ticker,weight,llm_rationale,verified,unsupported_numbers,foreign_tickers,forward_language,semantic_errors,template_reason,seconds
2021-03-01,MSFT,0.01,"The long position in MSFT at a weight of 1.0% is supported by strong profitability and quality scores, while the opposing value factor remains negative. Short interest stands at 0.5% with 1.9 days to cover.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.38 (for: profitability +0.80, quality +0.70; against: value -0.27); short interest 0.5% of shares, days-to-cover 1.9; 8-K month: novelty 0.08",8.150545917
2021-03-01,BC,0.01,"We are long BC at a weight of 1.0% NAV, supported primarily by its strong quality score of 0.7 and positive investment issuance accruals factor of 0.54. The position is offset by negative liquidity conditions with a score of -0.13, while the stock maintains a short interest of 2.9%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.26 (for: quality +0.70, investment_issuance_accruals +0.54; against: liquidity -0.13); short interest 2.9% of shares, days-to-cover 3.7",9.33372425
2021-03-01,CLH,0.01,"We are long CLH at a weight of 1.0% NAV, supported primarily by strong liquidity and investment issuance accruals factors. Although profitability and surprise scores are negative, the position benefits from low volatility beta and a short interest of 1.2%.",False,[],[],[],['volatility beta described as negative but score 0.03'],"LONG 1.00% NAV; factors +0.23 (for: liquidity +0.60, investment_issuance_accruals +0.52; against: surprise -0.12); short interest 1.2% of shares, days-to-cover 3.0; 8-K month: novelty 0.00",7.978769708
2021-03-01,LH,0.01,"We are long LH at a weight of 1.0% NAV, supported primarily by strong surprise and quality factor scores. Although liquidity and accruals factors are negative, the position benefits from a composite score of 0.35 and a short interest of 1.6%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.35 (for: surprise +0.89, quality +0.78; against: investment_issuance_accruals -0.24); short interest 1.6% of shares, days-to-cover 2.4; 8-K month: novelty 0.30",8.091406334
2021-03-01,TRGP,0.01,"We are taking a long position in TRGP at a weight of 1.0% NAV, primarily supported by strong investment issuance accruals (0.86) and positive surprise factors (0.38). This stance is tempered by opposing signals from profitability (-0.39), quality (-0.65), and volatility beta (-0.55), alongside a short interest of 1.2%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.05 (for: investment_issuance_accruals +0.86, surprise +0.38; against: quality -0.65); short interest 1.2% of shares, days-to-cover 1.9; 8-K month: novelty 0.29",11.094003167
2021-03-01,JJSF,-0.01,"The short position in JJSF carries a weight of 1.0% NAV, supported by negative signals in surprise (-0.41) and value (-0.32), while opposing factors include liquidity (0.36) and investment issuance accruals (0.36). The stock exhibits a composite score of -0.09 with a short interest of 4.8% and 11.6 days to cover.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.09 (for: surprise -0.41, value -0.32; against: volatility_beta +0.64); short interest 4.8% of shares, days-to-cover 11.6; 8-K month: novelty 0.65",11.219699875
2021-03-01,CSOD,-0.01,"The short position in CSOD is driven by negative signals in quality (-0.62) and volatility beta (-0.59), while liquidity provides a modest opposing signal of 0.28. With a composite score of -0.35 and current short interest at 3.3%, the portfolio maintains a 1.0% weight to reflect these fundamental concerns.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.35 (for: quality -0.62, volatility_beta -0.59; against: liquidity +0.28); short interest 3.3% of shares, days-to-cover 6.2",10.135328041000001
2021-03-01,MPC,-0.01,"The short position in MPC carries a weight of 1.0% NAV, supported by negative signals in quality (-0.89) and profitability (-0.76), while the positive investment issuance accruals factor (0.59) serves as the primary opposing influence. With a composite score of -0.38 and short interest at 4.5%, the trade reflects concerns over fundamental deterioration despite moderate liquidity constraints.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.38 (for: quality -0.89, profitability -0.76; against: investment_issuance_accruals +0.59); short interest 4.5% of shares, days-to-cover 5.8; 8-K month: novelty 0.25",10.562112084
2021-03-01,TRIP,-0.01,"The short position in TRIP is driven by significant negative signals in quality (-0.85) and volatility beta (-0.76), while the positive investment issuance accruals score (0.37) provides limited opposing support. With a 9.4% short interest and 6.5 days to cover, this 1.0% weight aligns with the composite score of -0.49.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.49 (for: quality -0.85, volatility_beta -0.76; against: investment_issuance_accruals +0.37); short interest 9.4% of shares, days-to-cover 6.5; 8-K month: novelty 0.05",11.076479958
2021-03-01,CCXI,-0.01,"The short position in CCXI at a weight of 1.0% is driven primarily by negative signals in investment issuance accruals (-0.92) and profitability (-0.85), while liquidity provides the strongest opposing support (+0.27). With a composite score of -0.45 and existing short interest of 4.6%, the model targets this exposure based on these fundamental factor groupings.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.45 (for: investment_issuance_accruals -0.92, profitability -0.85; against: liquidity +0.27); short interest 4.6% of shares, days-to-cover 8.7",10.639410875
2021-12-01,MSFT,0.01,"The model initiates a long position in MSFT at a weight of 1.0% NAV, supported primarily by strong surprise and profitability scores alongside positive volatility beta. Although value factors are negative, the high short interest of 0.5% provides additional context for this directional view.",False,[],[],[],['short interest called high at 0.5%'],"LONG 1.00% NAV; factors +0.39 (for: surprise +0.76, profitability +0.74; against: value -0.43); short interest 0.5% of shares, days-to-cover 1.8; 8-K month: novelty 0.38",7.908055959
2021-12-01,OLN,0.01,"We are long OLN at a weight of 1.0% NAV, supported primarily by strong surprise and value factor scores. Although liquidity and volatility beta factors are negative, the position benefits from a composite score of 0.29 and a short interest of 1.8%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.29 (for: surprise +0.82, value +0.56; against: volatility_beta -0.60); short interest 1.8% of shares, days-to-cover 2.0; 8-K month: novelty 0.66",8.29510525
2021-12-01,TPH,0.01,"We are long TPH at a weight of 1.0% NAV, supported primarily by strong value (0.87) and earnings surprise (0.56) signals. The position is further bolstered by low short interest of 2.8%, while opposing volatility beta (-0.18) remains the only negative factor.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.25 (for: value +0.87, surprise +0.56; against: volatility_beta -0.18); short interest 2.8% of shares, days-to-cover 3.7",9.298778542
