a,b,rho
turnover_126d,zero_trades_126d,-0.9995521639163705
ivol_ff3_21d,ivol_hxz4_21d,0.9809527155515521
dolvol_var_126d,turnover_var_126d,0.9742539038012341
zero_trades_126d,zero_trades_252d,0.972119159609685
turnover_126d,zero_trades_252d,-0.9715364217169167
ivol_capm_21d,ivol_ff3_21d,0.9674783396146712
ivol_capm_21d,ivol_hxz4_21d,0.9640806389449761
gp_at,gp_atl1,0.9622288665912174
op_at,op_atl1,0.957729441313478
ivol_capm_21d,rvol_21d,0.9459153638671012
cop_at,cop_atl1,0.9459097815918145
ami_126d,dolvol_126d,-0.9413139043438712
at_turnover,opex_at,0.9307949659795706
ope_be,ope_bel1,0.9258152040944234
chcsho_12m,eqnpo_12m,-0.918971579031073
rd_sale,rd5_at,0.9179206277053024
rmax1_21d,rmax5_21d,0.917083373866316
ami_126d,market_equity,-0.9156197722196561
turnover_126d,zero_trades_21d,-0.9097653805961949
zero_trades_126d,zero_trades_21d,0.9095626694965181
ivol_ff3_21d,rvol_21d,0.9084644304890279
lnoa_gr1a,nncoa_gr1a,0.9082612522579725
ivol_hxz4_21d,rvol_21d,0.9061917538199988
ncoa_gr1a,nncoa_gr1a,0.9024414815037449
