ticker,company_name,avg_weight
IOVA,IOVANCE BIOTHERAPEUTICS INC,-0.007941176470588224
NTLA,INTELLIA THERAPEUTICS INC,-0.006911764705882353
LAZR,LUMINAR TECHNOLOGIES INC,-0.006470588235294118
AMC,A M C ENTERTAINMENT HOLDINGS INC,-0.006176470588235294
NKLA,NIKOLA CORP,-0.006029411764705883
ALT,ALTIMMUNE INC,-0.006029411764705871
MULN,MULLEN AUTOMOTIVE INC,-0.0058823529411764705
PLUG,PLUG POWER INC,-0.005735294117647059
SPCE,VIRGIN GALACTIC HOLDINGS INC,-0.005588235294117647
FCEL,FUELCELL ENERGY INC,-0.005588235294117647
