target_month,permno,ticker,company_name,weight,ret_exc_lead1m,pred
2021-01-31,15850,MTCH,MATCH GROUP INC NEW,0.01,-0.07498500000000001,0.04707104805960072
2021-01-31,15284,BPMC,BLUEPRINT MEDICINES CORP,0.01,-0.13736199999999998,0.04102944323088647
2021-01-31,86979,JNPR,JUNIPER NETWORKS INC,0.01,0.08480499999999999,0.037544921360602425
2021-01-31,17688,GSHD,GOOSEHEAD INSURANCE INC,0.01,0.07081,0.03711493215147578
2021-01-31,92469,SATS,ECHOSTAR CORP,0.01,-0.011843999999999999,0.03682477290986079
2021-01-31,15065,FGEN,FIBROGEN INC,0.01,0.298956,0.03675899040530379
2021-01-31,79906,INCY,INCYTE CORP,0.01,0.0318,0.03593143779710595
2021-01-31,90162,GNW,GENWORTH FINANCIAL INC,0.01,-0.248723,0.034956684191529315
2021-01-31,16051,ACIA,ACACIA COMMUNICATIONS INC,0.01,0.567936,0.034950788010743444
2021-01-31,36397,FHN,FIRST HORIZON CORP,0.01,0.088512,0.0343621453707601
2021-01-31,91900,GLUU,GLU MOBILE INC,0.01,-0.022244,0.03381922687296141
2021-01-31,86047,AMKR,AMKOR TECHNOLOGY INC,0.01,0.029131999999999998,0.032873204130154404
2021-01-31,85020,PPBI,PACIFIC PREMIER BANCORP INC,0.01,0.061237,0.032819281117983275
2021-01-31,14983,W,WAYFAIR INC,0.01,0.205924,0.0326968078024551
2021-01-31,78829,UMBF,U M B FINANCIAL CORP,0.01,0.028654,0.03264849543076067
2021-01-31,90248,DPZ,DOMINOS PIZZA INC,0.01,-0.033165999999999994,0.032557172342991464
2021-01-31,14691,CBAY,CYMABAY THERAPEUTICS INC,0.01,-0.06799000000000001,0.032349401829281726
2021-01-31,79210,RGA,REINSURANCE GROUP OF AMERICA INC,0.01,-0.09366100000000001,0.03215341017864545
2021-01-31,13837,EVTC,EVERTEC INC,0.01,-0.11754300000000001,0.03195529554197106
2021-01-31,19032,VIR,VIR BIOTECHNOLOGY INC,0.01,1.409961,0.03140581598119088
2021-01-31,93264,IRWD,IRONWOOD PHARMACEUTICALS INC,0.01,-0.102768,0.031175634644173496
2021-01-31,18064,FTDR,FRONTDOOR INC,0.01,0.09615,0.03108226722803874
2021-01-31,85348,YUM,YUM BRANDS INC,0.01,-0.065171,0.03083044922810995
2021-01-31,15390,FIT,FITBIT INC,0.01,0.08083599999999999,0.03065508957629892
2021-01-31,86896,CBU,COMMUNITY BANK SYSTEM INC,0.01,0.040718000000000004,0.03064953298591325
2021-01-31,19751,CCIV,CHURCHILL CAPITAL CORP IV,0.01,1.285668,0.03061169235216655
2021-01-31,16648,SNDR,SCHNEIDER NATIONAL INC,0.01,0.014447000000000002,0.030052293842037513
2021-01-31,14359,XNCR,XENCOR INC,0.01,0.048544000000000004,0.029878877315892286
2021-01-31,13410,SUPN,SUPERNUS PHARMACEUTICALS INC,0.01,0.168078,0.029599810039495862
2021-01-31,76261,EXPO,EXPONENT INC,0.01,-0.08279600000000001,0.02959536630175828
2021-01-31,16632,HLNE,HAMILTON LANE INC,0.01,-0.034383,0.02947311236106686
2021-01-31,89946,AEL,AMERICAN EQUITY INVT LIFE HLDG C,0.01,0.055269000000000006,0.029392190814209622
2021-01-31,87034,LII,LENNOX INTERNATIONAL INC,0.01,0.005502,0.029323174493532392
2021-01-31,78981,LSTR,LANDSTAR SYSTEM INC,0.01,0.049517000000000005,0.029305735861852797
2021-01-31,82598,NTAP,NETAPP INC,0.01,0.010353000000000001,0.028505563080155883
2021-01-31,68292,SIGI,SELECTIVE INSURANCE GROUP INC,0.01,-0.029906000000000002,0.028379431714119205
2021-01-31,87842,MET,METLIFE INC,0.01,0.025512999999999997,0.0283652322735926
